ComID,Committee,ComShort,cat1,cat2,totspend,totspendout,IE,givingtot,topac,todem,torep,toballot,receivedtot,frompac,fromdem,fromrep,fromother
40069,Northwest Petroleum NPPAC,,pac,,52620,52320.0,,52620.0,300.0,23520.0,28800.0,,,,,,
70035,NRA Political Victory Fund,,pac,,59705.85,59705.9,58705.9,1000.0,,500.0,500.0,,,,,,
40894,Ottertail Power PAC,Ottertail Power,pac,biz,22925,22725.0,,22925.0,200.0,7875.0,14850.0,,30294.9,,,,30294.9
70033,OutFront Minnesota Action,OutFront MN,pac,issue,34354.12,24626.9,3726.9,30627.2,9727.2,20900.0,,,61740.0,500.0,3150.0,,58090.0
30633,OutFront MN Action Independent Expenditure Fund,Outfront MN IE,pac,ie,19551.13,19551.1,19551.1,,,,,,42595.2,28727.2,,,13868.0
40507,Painters Union Local No 61 Political Action,,pac,labor,1000,1000.0,0.0,1000.0,,1000.0,,,4396.0,,,,4396.0
40246,PAL 9 Natl Assoc of Letter Carriers,,pac,labor,30745,28175.0,,30745.0,2570.0,28175.0,,,4000.0,,,,4000.0
40276,Paper Allied-Ind Chem & Energy Workers Intl Union,,pac,,4734.25,0.0,,4734.3,4734.3,,,,,,,,
41036,Pass the Minnesota Health Plan,,pac,,2870,2870.0,,2870.0,,2870.0,,,1505.2,,488.4,,1016.9
41011,Patriot PAC,Patriot PAC,pac,,500,500.0,,500.0,,,500.0,,20663.4,,,300.0,20363.4
70049,PCI Minnesota Political Action Committee,,pac,,3800,3800.0,,3800.0,,1000.0,2800.0,,4000.0,,,,4000.0
30268,People in Construction Political Action Comm,,pac,,21900,21900.0,,21900.0,,11450.0,10450.0,,42400.0,,,,42400.0
40980,People United For Freedom,,pac,,0,0.0,,,,,,,1750.0,,,1506.3,243.8
40016,PharmPAC,PharmPAC,pac,,18300,18300.0,,18300.0,,9350.0,8950.0,,12300.0,,,,12300.0
30610,Pile Drivers PAC Fund,,pac,labor,3500,3500.0,,3500.0,,3500.0,,,,,,,
40821,Pine Bend PAC,Pine Bend,pac,,62220,62220.0,,62220.0,,26570.0,35650.0,,84275.0,,,,84275.0
30239,Pipe Fitters Local 539,,pac,labor,71888.07,68647.0,,71888.1,3241.1,67897.0,750.0,,40673.3,,,,40673.3
30628,"Planned Parenthood Minnesota, North Dakota, South Dakota Action Fund",Planned Parenthood,pac,ie,159797.43,154797.4,154797.4,5000.0,5000.0,,,,167925.4,,,,167925.4
80012,Planned Parenthood of Minn Pol Action Fund,Planned Parenthood 2,pac,,79988.7,60088.7,60088.7,19900.0,19900.0,,,,105890.0,,,,105890.0
30571,Plumbers & Pipefitters Local #589 Pol Action Comm,,pac,labor,18088.28,17200.0,,18088.3,888.3,17200.0,,,,,,,
30577,Plumbers & Steamfitters Local 11 PAC Fund,,pac,labor,27288.08,25555.0,,27288.1,1733.1,25555.0,,,14095.6,,,,14095.6
30033,Plumbers Local Union #15 COPE Account,,pac,labor,18517,16217.0,,18517.0,2300.0,16217.0,,,,,,,
30574,Police Officers Alliance of MN Pol Action Fund,,pac,labor,2750,2750.0,,2750.0,,2500.0,250.0,,,,,,
30085,Police Officers Fed of Mpls Contingency Fund,Police Fed of Mpls,pac,labor,70750,70750.0,,70750.0,,36000.0,32500.0,,117000.0,,,,117000.0
30555,Prairie Island Indian Community PAC,Prairie Island Indian,pac,indian,649179,648179.0,,649179.0,1000.0,464679.0,183500.0,,560000.0,,,,560000.0
30176,Principals Action League,,pac,,5250,5250.0,,5250.0,,4750.0,500.0,,,,,,
80014,Printing Industries Political Action Committee,,pac,,3650,3650.0,,3650.0,,1300.0,2350.0,,2550.0,,,,2550.0
40971,Private Citizens for Hutchinson,,pac,,0,0.0,,,,,,,7862.0,,,,7862.0
41047,Pro Jobs Majority,Pro Jobs Majority,pac,ie,784939.76,774939.8,774939.8,10000.0,10000.0,,,,886816.3,5500.0,,,881316.3
40927,Progressive Action Duluth,,pac,,450,450.0,,450.0,,450.0,,,4320.0,,,,4320.0
41092,Progressive Kick IE,Progressive Kick,pac,ie,46119.07,12772.1,12772.1,33347.0,33347.0,,,,93500.0,,,,93500.0
40981,Progressive Majority Minnesota,Progressive Maj,pac,prodfl,11689.66,11564.7,,11689.7,125.0,11564.7,,,59451.0,10450.0,401.0,,48600.0
40975,PROGRESSPPAC,,pac,,2500,2500.0,,2500.0,,500.0,,,3125.0,,2000.0,,1125.0
80027,Project 515 PAC,Project 515,pac,,27850,27850.0,,27850.0,,27350.0,500.0,,29247.6,522.6,400.0,,28325.0
40275,Public Emp Pension Serv Assn (PEPSA) Pol Fund,,pac,,70765,70515.0,,70765.0,250.0,39840.0,30675.0,,16403.1,,,,16403.1
30654,Public Safety Matters Campaign,Pub Safety Matters,pac,ie,277239.21,277239.2,277239.2,,,,,,307150.0,92500.0,,,214650.0
40933,Putting Minnesota First,Putting MN First,pac,ie,140850.48,140850.5,140850.5,,,,,,183989.0,130036.4,2952.6,,51000.0
40990,Real Republican Majority-Minn,Real Republican Majority,pac,prorpm,0,0.0,,,,,,,22250.0,2500.0,,,19750.0
70025,Red Wing Area Business Leadership Council,,pac,,479.59,0.0,,479.6,479.6,,,,,,,,
41012,Republican Liberty Caucus of Minn,,pac,,7525.65,7525.7,4925.7,2600.0,,,2600.0,,6310.0,,,4500.0,1810.0
41013,Republican Metropolitan Committee,,pac,,250,250.0,,250.0,,,250.0,,7340.0,,,,7340.0
41032,Resource Party,,pac,,4313,2313.0,,4313.0,2000.0,,,,26506.2,,,,26506.2
30151,Retired Peoples Political Action Fund,,pac,,46000,46000.0,,46000.0,,23000.0,23000.0,,14999.0,,,,14999.0
30568,Rice Michels & Walther LLP Political Fund,Rice Michels & Walther,pac,,16896.02,16696.0,,16896.0,200.0,12609.8,4086.2,,55351.6,,719.6,,54632.0
30258,RKM&C Fund,RKM&C Fund,pac,lawyers,216342.43,181842.4,,216342.4,34500.0,125175.0,6500.0,10917.4,221409.5,,2461.1,,218948.4
40098,Road PAC of Minn,Road PAC,pac,,50798.22,40798.2,23135.0,27663.3,10000.0,13338.3,4325.0,,70050.3,5375.3,,,64675.0
30032,Robbinsdale Federation of Teachers COPE Fund,,pac,labor,4000,4000.0,,4000.0,,4000.0,,,250.0,,,,250.0
40979,Rochester Citizens Coalition,Rochester Citizens Coalit,pac,,1875,1750.0,,1875.0,125.0,1750.0,,,14650.3,6091.2,,,2759.0
